#{"t_start": 1718207680.0404563, "env_id": "CustomHopper-source-v0"}
r,l,t
1118.912528,311,881.846483
1112.850268,303,887.802882
1695.209805,500,888.674963
1380.036712,409,889.297407
1707.634971,500,889.993092
1731.860288,500,896.405145
1710.241533,500,897.13407
1711.432768,500,898.018997
1715.720323,500,899.16832
1376.767384,376,899.816329
1699.000485,500,906.188731
1639.959681,452,906.823844
1743.533724,500,907.683074
1641.688531,451,908.296755
1703.271052,500,915.069471
